SampleTime,startTimeslot,maximumCapacity,bookings,availableCapacity,hasAvailability,location_id,postal_code,city,active
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,25,1,24,True,investor-refresh,8013,Zwolle,True
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,6,0,6,True,many-sofa,5121,Rijen,True
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,0,0,0,False,oily-wire,3769,Soesterberg,True
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,10,0,10,True,random-tropics,2182,Hillegom,True
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,0,0,0,False,augmenting-step,1271,Huizen,True
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,18,5,13,True,warm-cash,3044,Rotterdam,True
2022-02-06 15:46:46,2022-02-06 16:30:00+00:00,0,0,0,False,internal-class,4104,Culemborg,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,0,0,0,False,augmenting-step,1271,Huizen,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,0,0,0,False,weathered-bronze,3439,Nieuwegein,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,10,2,8,True,random-tropics,2182,Hillegom,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,10,6,4,True,seething-trellis,1078,Amsterdam,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,0,0,0,False,oily-wire,3769,Soesterberg,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,6,1,5,True,many-sofa,5121,Rijen,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,30,0,30,True,ambitious-heel,7556,Hengelo,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,0,0,0,False,quadratic-corgie,7418,Deventer,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,18,0,18,True,adjacent-string,4815,Breda,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,18,5,13,True,warm-cash,3044,Rotterdam,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,75,0,75,True,trite-refresh,2803,Gouda,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,5,0,5,True,funny-map,1976,IJmuiden,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,12,1,11,True,optimal-template,6545,Nijmegen,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,0,0,0,False,internal-class,4104,Culemborg,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,15,0,15,True,oblique-table,4824,Breda,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,10,2,8,True,generative-abscissa,3817,Amersfoort,True
2022-02-06 15:46:46,2022-02-06 16:45:00+00:00,0,0,0,False,brass-branch,7202,Zutphen,True
